,year,title,authors
404,2002,"Basic Econometrics, McGraw-Hill/Irwin, Boston; Mon-Furthermore, the paper presents a comparative experimental treal",Gujarati D.
405,2016,"Pappa, feedforward neural network, particle swarm optimization, and multires-M. Mattoso, Adaptive Normalization: A novel data normalization ap- olution techniques, Physica A: Statistical Mechanics and its Applicaproach for non-stationary time series",Ogasawara E.
406,2007,Applied Regression Analysis and Generalized Linear Models,Fox J.
407,2010,"Forecasting bunker prices; a nonstationary, linear time series analysis",Stefanakos C.
408,2017,"The importance of variance stationarity in economic time northeastern Bangladesh, Journal of King Saud University - Science 29 series modelling. A practical approach",Milionis A.
409,2004,A dynamic factor model for,Corona F.
410,2017,"Impact factors, Journal of Econometrics 128 the Mexican economy: are common trends useful when predicting eco-(2005) 31–68. nomic activity?",Omtzigt P.
411,2017,"Determining the number of factors after a single diagram, Journal of Geophysical Research: Atmospheres 106 stationary univariate transformations",Corona F.
412,2017,Asymptotic properties of quasimaximum likelihood estimators in observation-driven time series models,Douc R.
413,2017,Multidimensional k-nearest neighbor model based on EEMD for financial time series forecasting,Zhang N.
414,2017,Detecting intrinsic dynamics of traffic flow with recurrence analysis and empirical mode decomposition,Xiong H.
415,2017,Selecting between autoregressive conditional heteroskedasticity models: An empirical application to the volatility of stock returns in Peru,Rodriguez G.
416,2017,A new hybrid approach EMD-EXP for short-term forecasting of daily stock market time series data,Ismail M.
417,2017,A Novel Multilevel-SVD Method to Improve Multistep Ahead Forecasting in Traffic Accidents Domain,Barba L.
418,2018,NonSTOP: A NonSTationary Online Prediction Method for Time Series,Xie C.
419,2018,A multivariate short-term traffic flow forecasting method based on wavelet analysis and seasonal time series,Zhang H.
420,2018,Analysis of differencing and decomposition preprocessing methods for wind speed prediction,Bokde N.
421,2018,Long-Term Dependency Structure and Structural Breaks: Evidence from the U.S,Ngene G.
422,2018,Hierarchical decomposition method and combination forecasting scheme for access load on public map service platforms,Li R.
423,2018,"Long memory in UK real gdp, 1851-2013: An arfima figarch analysis",Caporale G.
424,2018,Prediction of hydropower energy price using gomes-maravall seasonal model,Jamalmanesh A.
425,2007,Time series prediction competition: The CATS benchmark,Lendasse A.
426,2007,The NN3 Competition,
427,2008,The NN5 Competition,
428,2017,Macroeconomic and regional data,Ipea Ipeadata
429,2013,Measuring Forecasting Accuracy: The Case Of Judgmental Adjustments To Sku-Level Demand Forecasts,Davydenko A.
430,2018,TSPred: Functions for Benchmarking Time Series Prediction Prediction,Salles R.P.
431,2008,Automatic Time Series Forecasting: The forecast Package for R,Hyndman R.J.
432,2009,EMD: A Package for Empirical Mode Decomposition and Hilbert Spectrum,Kim D.
433,2013,"wavelets: A package of functions for computing wavelet filters, wavelet transforms and multiresolution analyses",Aldrich E.
434,2013,"Forecasting: principles and practice, OTexts",Hyndman R.J.
435,1993,"Genetic algorithms and simulated annealing: a marriage proposal, Proc",Adler D.
436,1992,Learning and tuning fuzzy logic controllers through reinforcements,Berenji H.R.
437,2000,/ Fuzzy Sets and Systems 112,Chung I.-F.
438,1991,"Genetic algorithms for fuzzy controllers, AI Expert Approx",Karr C.
439,1991,Fuzzy identi cation of systems and its,Takagi T.
440,2018,Fibonacci Trading: How to Master the Time and Price Advantage,Boroden C.
441,2012,"Elliot Wave Principle: Elementary Concepts, Wave Patterns, and Practice Exercises",Brown C.
442,2005,Encyclopedia of Chart Patterns,Bulkowski T.N.
443,2012,A novel model by evolving partially connected neural network for stock price trend forecasting,Chang P.C.
444,1995,Chaotic stimulated annealing by a neural model with transient chaos,Chen L.
445,2012,Combining nonlinear independent component analysis and neural network for the prediction of Asian stock U market indexes,Dai W.
446,2016,Financial time series modeling and prediction using postfix-GP,Dabhi V.K.
448,2010,Fuzzy models for predicting time series stock price index,Hwang H.
449,1996,Reinforcement Learning: A Survey,Kaelbling L.P.
450,2004,A Transient-chaotic Auto-associative Network (TCAN) based on LEE-oscillators,Lee R.S.T.
451,2005,"Advanced Paradigms in Artificial Intelligence From Neural Oscillators, Chaos Theory to Chaotic Neural Networks",Lee R.S.T.
452,2006,Fuzzy-Neuro Approach to Agent Applications (From the AI Perspective to Modern Ontology,Lee R.S.T.
453,2002,Scene Analysis using an Integrated Composite Neural Oscillatory Elastic Graph Matching Model,Lee R.S.T.
454,2009,An Actor-Critic reinforcement learning algorithm based on adaptive RBF network,Li C.G.
455,2013,The stock price forecasting comparative research of the use of fractal theory at Taiwan traditional industry and technology industry,Ling P.W.
456,2005,Neural network model for time series prediction by reinforcement learning,Liu F.
457,2016,On the use of back propagation and radial basis function neural networks in surface roughness prediction,Markopoulos A.P.
458,1999,Technical Analysis of the Financial Markets: A Comprehensive Guide to Trading Methods and Application,Murphy J.J.
459,2018,Short-term stock price forecasting using kernel principal component analysis and support vector machines: the case of Casablanca stock exchange,Nahil A.
460,2017,A novel hybrid model based on Hodrick–Prescott filter and support vector regression algorithm for optimizing stock market price prediction,Ouahilal M.
461,2017,Stock prediction using deep learning,Singh R.
462,1991,Period-doublings to chaos in a simple neural network: An analytic proof,Wang X.
463,2010,Zhou “On Stock Prediction Based on KNN-ANN Algorithm”,Liu S.
464,2017,Singh “Survey of Stock Market Prediction Using Machine Learning Approach”,Sharma A.
465,2019,Literature review: Machine learning techniques applied to financial market prediction”,Henrique B.M.
466,2016,R.”Stock trend prediction based on a new status box method and adaboost probabilistic support vector machine”,Zhang X.
467,2018,Nse stock market prediction using deeplearning models”,Hiransha M.
468,2020,Fujita “Adaptive stock trading strategies with deep reinforcement learning methods,Wu X.
469,2019,Rundo “Deep LSTM with Reinforcement Learning Layer for Financial Trend Prediction in FX High Frequency Trading Systems,
470,2019,Khush “Reinforcement Learning in Financial Markets,Meng T.L.
471,2020,Nigam “Stock Price Prediction using Reinforcement Learning and Feature Extraction,Sathya R.
472,2019,"YoungKim “Improving financial trading decisions using deep Q-learning: Predicting the number of shares, action strategies, and transfer learning",Jeong G.
473,2018,shin “Genetic Algorithm-Optimized Long Short-Term Memory Network for Stock Market Prediction,Chung H.
474,2020,Lin “An innovative neural network approach for stock market prediction,Pang X.
475,2017,A survey of methods for time series change point detection,Aminikhanghahi S.
476,2008,Modelling unemployment rate using Box-Jenkins procedure,Dobre I.
477,2013,Comparative study of ANFIS and ARIMA model for weather forecasting in Dhaka,Rahman M.
478,2015,Applied Econometrics,Asteriou D.
479,2015,Time Series Analysis: Forecasting and Control,Box G.E.
480,2002,Introduction to Time Series and Forecasting,Brockwell P.J.
481,2017,Time Series Analysis and Its Applications: With R Examples,Shumway R.H.
482,2015,Evaluating Real-Time Anomaly Detection Algorithms—The Numenta Anomaly Benchmark,Lavin A.
483,2018,Unsupervised Anomaly Event Detection for Cloud Monitoring Using Online Arima,Schmidt F.
484,2003,Online convex programming and generalized infinitesimal gradient ascent,Zinkevich M.
485,2015,Online forecasting chlorophyll a concentrations by an auto-regressive integrated moving average model: Feasibilities and potentials,Chen Q.
486,2016,Renewable energy management in cellular networks: An online strategy based on ARIMA forecasting and a Markov chain model,Leithon J.
487,2018,Online Truth Discovery on Time Series Data,Yao L.
488,2015,Online time series prediction with missing data,Anava O.
489,2015,Aggregation of predictors for nonstationary sub-linear processes and online adaptive forecasting of time varying autoregressive processes,Giraud C.
490,2004,"A convex optimization approach to n, m (ARMA) model design from covariance and cepstral data",Enqvist P.
491,2017,Second Book; Factorial Press,Vasiliev F.Optimization Methods
492,2010,ARIMA Based Network Anomaly Detection,Yaacob A.H.
493,2003,"Sketch-based change detection: Methods, evaluation, and applications",Krishnamurthy B.
494,1973,The pricing of options and corporate liabilities,Black F.
495,1986,Generalized autoregressive conditional heteroskedasticity,Bollerslev T.
496,2000,M.W.: A general model for short-term interest rates,Chung C.F.
497,1982,Control problem of grey system,Deng J.L.
498,1995,The GARCH option pricing model,Duan J.C.
499,2000,S.: A closed-form GARCH option valuation model,Heston S.L.
500,1997,Deception considered harmful”,Grefenstette J.J.
501,1975,Multiobjective optimiza tion using the niched [43] H.-P. Schwefel. Evolutionsstrategie und Numerische Optimierung. pareto genetic algorithm,J. Nafpliotis
502,1993,"Univ. Illiniois, Urbana-Champagn",Lab Algorithms
503,1977,The Pareto archived evolution strategy: a new mittels der Evolutionsstrategie,Knowles J.
504,2002,Multiple Path Planning for a Group of Mobile Robots in 3D Environment using Genetic,AlgorithmsZein-Sabatto Sand Ramakrishnan
505,2015,Learning dynamic stream weights for coupledhmm-based audio-visual speech recognition,Abdelaziz A.H.
506,2010,Natural speakerindependent arabic speech recognition system based on hidden markov models using sphinx tools,Abushariah M.A.
508,2016,Information Fusion for Cyber-Security Analytics,Alsmadi I.M.
509,2016,Measuring the information content of financial news,Chang C.Y.
510,2015,A lstm-based method for stock returns prediction: A case study of china stock market,Chen K.
511,2006,Particle filter based traffic state estimation using cell phone network data,Cheng P.
512,2016,An adaptive stock index trading decision support system,Wc Chiang
513,2017,"Deep learning networks for stock market analysis and prediction : Methodology , data representations , and case studies",Chong E.
514,1989,What moves stock prices,Cutler D.M.
515,2007,Yahoo! for amazon: Sentiment extraction from small talk on the web,Das Chen
516,2014,Using structured events to predict stock price movement: An empirical investigation,Ding X.
517,2015,Deep learning for event-driven stock prediction,Ding X.
518,2016,Effective and fast near duplicate detection via signature-based compression metrics 2016(8–13):1–12,Efficiency T.I.
519,2009,A hidden markov modelbased isolated and meaningful hand gesture recognition,Elmezain M.
520,1965,The behavior of stock-market prices,Fama E.F.
521,2011,The stock sonar-sentiment analysis of stocks based on a hybrid approach,Feldman R.
522,2017,An algorithmic framework for frequent intraday pattern recognition and exploitation in forex market,Goumatianos N.
523,2012,Stock market prediction using hidden markov models,Gupta A.
524,2015,Sentiment analysis on social media for stock movement prediction,Hai T.
525,2011,An overview of event extraction from text,Hogenboom F.
526,2016,Investigation into the effectiveness of long short term memory networks for stock price prediction,Jia H.
